filename,label
IMG_20250321_094453.jpg,xanh
IMG_20250321_125938.jpg,xanh
IMG_20250321_152119.jpg,xanh
IMG_20250321_153226.jpg,xanh
IMG_20250321_154447.jpg,xanh
IMG_20250321_155346.jpg,xanh
IMG_20250321_160641.jpg,xanh
IMG_20250321_161618.jpg,xanh
IMG_20250321_163949.jpg,xanh
IMG_20250321_164840.jpg,xanh
IMG_20250321_185409.jpg,xanh
IMG_20250321_190529.jpg,xanh
IMG_20250321_191416.jpg,xanh
IMG_20250321_193004.jpg,xanh
IMG_20250321_194332.jpg,xanh
IMG_20250321_200107.jpg,xanh
IMG_20250323_105752.jpg,xanh
IMG_20250323_143924.jpg,xanh
IMG_20250323_145259.jpg,xanh
IMG_20250323_150805.jpg,xanh
IMG_20250325_142625.jpg,xanh
IMG_20250325_144354.jpg,xanh
IMG_20250330_091832.jpg,xanh
IMG_20250330_093115.jpg,xanh
IMG_20250330_095433.jpg,xanh
IMG_20250330_101201.jpg,xanh
IMG_20250330_103110.jpg,xanh
IMG_20250330_104628.jpg,xanh
IMG_20250330_110256.jpg,xanh
IMG_20250330_141308.jpg,xanh
IMG_20250330_142741.jpg,xanh
IMG_20250330_143858.jpg,xanh
IMG_20250330_150238.jpg,xanh
IMG_20250330_152447.jpg,xanh
IMG_20250330_154624.jpg,xanh
IMG_20250330_160134.jpg,xanh
IMG_20250330_161322.jpg,xanh
IMG_20250330_161446.jpg,xanh
